model,problem_id,s_enc,s_dead,s_lex
Dataset_DeepseekV3.1,p03012,0.59,0.775,0.65
Dataset_DeepseekV3.1,p02898,0.74,0.8,0.7
Dataset_DeepseekV3.1,p03013,0.2,0.7625,0.591667
Dataset_DeepseekV3.1,p02899,0.5,0.6125,0.525
Dataset_DeepseekV3.1,p03371,0.57,0.6625,0.533333
Dataset_DeepseekV3.1,p02640,0.18,0.725,0.516667
Dataset_DeepseekV3.1,p03775,0.8,0.65,0.666667
Dataset_DeepseekV3.1,p03239,0.66,0.7375,0.691667
Dataset_DeepseekV3.1,p02682,0.69,0.6875,0.616667
Dataset_DeepseekV3.1,p02641,0.5,0.7125,0.508333
Dataset_DeepseekV3.1,p02681,0.46,0.725,0.558333
Dataset_DeepseekV3.1,p03416,0.64,0.7625,0.675
Dataset_DeepseekV3.1,p02911,0.33,0.6,0.55
Dataset_DeepseekV3.1,p02723,0.33,0.9,0.775
Dataset_DeepseekV3.1,p02694,0.74,0.75,0.683333
Dataset_DeepseekV3.1,p03370,0.52,0.775,0.541667
Dataset_DeepseekV3.1,p03011,0.7,0.6375,0.65
Dataset_DeepseekV3.1,p02657,0.72,0.75,0.533333
Dataset_DeepseekV3.1,p02910,0.26,0.7875,0.675
Dataset_DeepseekV3.1,p04030,0.81,0.75,0.658333
Dataset_DeepseekV3.1,p02257,0.78,0.725,0.675
Dataset_DeepseekV3.1,p03161,0.7,0.825,0.741667
Dataset_DeepseekV3.1,p02860,0.58,0.7875,0.716667
Dataset_DeepseekV3.1,p03160,0.7,0.775,0.658333
Dataset_DeepseekV3.1,p02256,0.31,0.6375,0.633333
Dataset_DeepseekV3.1,p02848,0.25,0.675,0.733333
Dataset_DeepseekV3.1,p03000,0.6,0.4375,0.433333
Dataset_DeepseekV3.1,p03835,0.75,0.675,0.65
Dataset_DeepseekV3.1,p03001,0.57,0.55,0.566667
Dataset_DeepseekV3.1,p02718,0.4,0.8375,0.725
Dataset_DeepseekV3.1,p03360,0.62,0.625,0.775
Dataset_DeepseekV3.1,p02268,0.42,0.8125,0.616667
Dataset_DeepseekV3.1,p02730,0.64,0.7125,0.541667
Dataset_DeepseekV3.1,p02687,0.2,0.725,0.541667
Dataset_DeepseekV3.1,p02725,0.54,0.7125,0.6
Dataset_DeepseekV3.1,p02693,0.36,0.8375,0.633333
Dataset_DeepseekV3.1,p02724,0.34,0.75,0.641667
Dataset_DeepseekV3.1,p02916,0.45,0.7375,0.5
Dataset_DeepseekV3.1,p02917,0.61,0.8,0.579167
Dataset_DeepseekV3.1,p02731,0.5,0.3375,0.516667
Dataset_DeepseekV3.1,p02255,0.64,0.65,0.825
Dataset_DeepseekV3.1,p02719,0.8,0.7875,0.691667
Dataset_DeepseekV3.1,p03448,0.66,0.8375,0.725
Dataset_DeepseekV3.1,p02622,0.52,0.7,0.55
Dataset_DeepseekV3.1,p03474,0.38,0.75,0.691667
Dataset_DeepseekV3.1,p02971,0.74,0.6,0.625
Dataset_DeepseekV3.1,p02959,0.5,0.5375,0.716667
Dataset_DeepseekV3.1,p02408,0.71,0.75,0.625
Dataset_DeepseekV3.1,p02409,0.5,0.7125,0.625
Dataset_DeepseekV3.1,p02390,0.51,0.6875,0.575
Dataset_DeepseekV3.1,p02420,0.35,0.65,0.508333
Dataset_DeepseekV3.1,p02391,0.25,0.8,0.741667
Dataset_DeepseekV3.1,p03071,0.66,0.5875,0.508333
Dataset_DeepseekV3.1,p03059,0.64,0.7,0.441667
Dataset_DeepseekV3.1,p02421,0.84,0.725,0.766667
Dataset_DeepseekV3.1,p02958,0.25,0.775,0.841667
Dataset_DeepseekV3.1,p02970,0.77,0.75,0.625
Dataset_DeepseekV3.1,p04044,0.72,0.675,0.683333
Dataset_DeepseekV3.1,p02582,0.36,0.475,0.508333
Dataset_DeepseekV3.1,p03107,0.48,0.5625,0.525
Dataset_DeepseekV3.1,p03449,0.57,0.7,0.65
Dataset_DeepseekV3.1,p02755,0.43,0.8125,0.683333
Dataset_DeepseekV3.1,p02621,0.55,0.625,0.55
Dataset_DeepseekV3.1,p02812,0.46,0.7875,0.716667
Dataset_DeepseekV3.1,p03072,0.64,0.4625,0.475
Dataset_DeepseekV3.1,p03073,0.63,0.6625,0.591667
Dataset_DeepseekV3.1,p02392,0.21,0.6875,0.841667
Dataset_DeepseekV3.1,p02393,0.73,0.675,0.808333
Dataset_DeepseekV3.1,p02783,0.66,0.6125,0.508333
Dataset_DeepseekV3.1,p02595,0.81,0.825,0.841667
Dataset_DeepseekV3.1,p02754,0.48,0.6,0.558333
Dataset_DeepseekV3.1,p03106,0.75,0.7375,0.75
Dataset_DeepseekV3.1,p03102,0.71,0.7875,0.575
Dataset_DeepseekV3.1,p02552,0.28,0.825,0.633333
Dataset_DeepseekV3.1,p02988,0.59,0.5875,0.75
Dataset_DeepseekV3.1,p02397,0.24,0.6625,0.583333
Dataset_DeepseekV3.1,p04043,0.22,0.6375,0.691667
Dataset_DeepseekV3.1,p02778,0.33,0.575,0.641667
Dataset_DeepseekV3.1,p03076,0.62,0.65,0.516667
Dataset_DeepseekV3.1,p02396,0.34,0.6375,0.641667
Dataset_DeepseekV3.1,p03261,0.68,0.825,0.733333
Dataset_DeepseekV3.1,p02802,0.54,0.5875,0.508333
Dataset_DeepseekV3.1,p02786,0.78,0.525,0.591667
Dataset_DeepseekV3.1,p02989,0.59,0.7,0.65
Dataset_DeepseekV3.1,p03315,0.22,0.65,0.55
Dataset_DeepseekV3.1,p02779,0.41,0.8125,0.541667
Dataset_DeepseekV3.1,p02553,0.76,0.7375,0.641667
Dataset_DeepseekV3.1,p03854,0.34,0.675,0.591667
Dataset_DeepseekV3.1,p02547,0.45,0.7,0.725
Dataset_DeepseekV3.1,p02784,0.64,0.6875,0.533333
Dataset_DeepseekV3.1,p02753,0.19,0.675,0.466667
Dataset_DeepseekV3.1,p02627,0.08,0.7125,0.85
Dataset_DeepseekV3.1,p02790,0.32,0.6875,0.616667
Dataset_DeepseekV3.1,p03471,0.65,0.7625,0.616667
Dataset_DeepseekV3.1,p03075,0.5,0.725,0.808333
Dataset_DeepseekV3.1,p02381,0.44,0.7625,0.783333
Dataset_DeepseekV3.1,p02394,0.34,0.5125,0.516667
Dataset_DeepseekV3.1,p02418,0.27,0.675,0.758333
Dataset_DeepseekV3.1,p02419,0.32,0.7875,0.733333
Dataset_DeepseekV3.1,p03060,0.7,0.6625,0.558333
Dataset_DeepseekV3.1,p02801,0.22,0.625,0.758333
Dataset_DeepseekV3.1,p03289,0.35,0.875,0.783333
Dataset_DeepseekV3.1,p02829,0.46,0.725,0.791667
Dataset_DeepseekV3.1,p02785,0.78,0.6625,0.525
Dataset_DeepseekV3.1,p02791,0.69,0.6625,0.591667
Dataset_DeepseekV3.1,p03680,0.7,0.6625,0.583333
Dataset_DeepseekV3.1,p03470,0.8,0.775,0.7
Dataset_DeepseekV3.1,p02578,0.43,0.525,0.616667
Dataset_DeepseekV3.1,p03316,0.52,0.825,0.7
Dataset_DeepseekV3.1,p03469,0.29,0.7,0.508333
Dataset_DeepseekV3.1,p03455,0.39,0.7125,0.7
Dataset_DeepseekV3.1,p02993,0.59,0.85,0.708333
Dataset_DeepseekV3.1,p02777,0.49,0.6125,0.433333
Dataset_DeepseekV3.1,p02818,0.59,0.675,0.558333
Dataset_DeepseekV3.1,p02987,0.23,0.6125,0.758333
Dataset_DeepseekV3.1,p02830,0.7,0.7375,0.666667
Dataset_DeepseekV3.1,p02415,0.27,0.725,0.783333
Dataset_DeepseekV3.1,p03086,0.77,0.8625,0.8
Dataset_DeepseekV3.1,p02401,0.29,0.7125,0.733333
Dataset_DeepseekV3.1,p02398,0.63,0.575,0.716667
Dataset_DeepseekV3.1,p02399,0.28,0.725,0.7
Dataset_DeepseekV3.1,p03087,0.52,0.775,0.766667
Dataset_DeepseekV3.1,p02400,0.34,0.6625,0.783333
Dataset_DeepseekV3.1,p02414,0.47,0.8375,0.8
Dataset_DeepseekV3.1,p02819,0.74,0.7,0.658333
Dataset_DeepseekV3.1,p02831,0.73,0.7625,0.741667
Dataset_DeepseekV3.1,p03285,0.32,0.2375,0.625
Dataset_DeepseekV3.1,p00001,0.74,0.85,0.758333
Dataset_DeepseekV3.1,p02945,0.66,0.7,0.633333
Dataset_DeepseekV3.1,p02951,0.71,0.6625,0.533333
Dataset_DeepseekV3.1,p03695,0.59,0.9,0.741667
Dataset_DeepseekV3.1,p02576,0.66,0.75,0.583333
Dataset_DeepseekV3.1,p03126,0.3,0.6,0.629167
Dataset_DeepseekV3.1,p03324,0.55,0.7,0.55
Dataset_DeepseekV3.1,p03456,0.74,0.825,0.783333
Dataset_DeepseekV3.1,p00003,0.66,0.85,0.841667
Dataset_DeepseekV3.1,p02628,0.71,0.7375,0.575
Dataset_DeepseekV3.1,p02947,0.74,0.825,0.733333
Dataset_DeepseekV3.1,p02953,0.33,0.85,0.758333
Dataset_DeepseekV3.1,p02416,0.2,0.55,0.716667
Dataset_DeepseekV3.1,p03293,0.54,0.8,0.625
Dataset_DeepseekV3.1,p02402,0.3,0.8125,0.85
Dataset_DeepseekV3.1,p03720,0.74,0.65,0.658333
Dataset_DeepseekV3.1,p02403,0.25,0.8625,0.758333
Dataset_DeepseekV3.1,p02417,0.25,0.675,0.820833
Dataset_DeepseekV3.1,p02629,0.41,0.7875,0.816667
Dataset_DeepseekV3.1,p00002,0.26,0.725,0.725
Dataset_DeepseekV3.1,p02832,0.61,0.7625,0.716667
Dataset_DeepseekV3.1,p03292,0.35,0.725,0.641667
Dataset_DeepseekV3.1,p03494,0.68,0.6,0.725
Dataset_DeepseekV3.1,p02952,0.23,0.8125,0.816667
Dataset_DeepseekV3.1,p02946,0.69,0.75,0.725
Dataset_DeepseekV3.1,p03325,0.7,0.75,0.616667
Dataset_DeepseekV3.1,p02577,0.23,0.85,0.85
Dataset_DeepseekV3.1,p03457,0.55,0.85,0.783333
Dataset_DeepseekV3.1,p02981,0.66,0.6375,0.433333
Dataset_DeepseekV3.1,p02639,0.55,0.3125,0.566667
Dataset_DeepseekV3.1,p02759,0.69,0.775,0.566667
Dataset_DeepseekV3.1,p02995,0.78,0.7875,0.841667
Dataset_DeepseekV3.1,p00006,0.38,0.5875,0.733333
Dataset_DeepseekV3.1,p02771,0.26,0.8,0.833333
Dataset_DeepseekV3.1,p02413,0.68,0.825,0.775
Dataset_DeepseekV3.1,p02836,0.67,0.6875,0.633333
Dataset_DeepseekV3.1,p02407,0.34,0.7,0.483333
Dataset_DeepseekV3.1,p03282,0.36,0.6875,0.575
Dataset_DeepseekV3.1,p03043,0.6,0.6375,0.516667
Dataset_DeepseekV3.1,p02406,0.31,0.5875,0.725
Dataset_DeepseekV3.1,p02412,0.39,0.7375,0.725
Dataset_DeepseekV3.1,p02957,0.33,0.575,0.558333
Dataset_DeepseekV3.1,p00007,0.82,0.675,0.691667
Dataset_DeepseekV3.1,p03042,0.27,0.8125,0.766667
Dataset_DeepseekV3.1,p03308,0.53,0.7,0.541667
Dataset_DeepseekV3.1,p03644,0.45,0.45,0.5
Dataset_DeepseekV3.1,p03136,0.75,0.75,0.758333
Dataset_DeepseekV3.1,p02994,0.52,0.7375,0.608333
Dataset_DeepseekV3.1,p02570,0.42,0.7625,0.633333
Dataset_DeepseekV3.1,p02772,0.38,0.775,0.766667
Dataset_DeepseekV3.1,p02982,0.73,0.675,0.683333
Dataset_DeepseekV3.1,p03478,0.88,0.775,0.716667
Dataset_DeepseekV3.1,p02766,0.69,0.7875,0.683333
Dataset_DeepseekV3.1,p03493,0.33,0.7875,0.691667
Dataset_DeepseekV3.1,p00005,0.78,0.3,0.758333
Dataset_DeepseekV3.1,p03242,0.51,0.6375,0.516667
Dataset_DeepseekV3.1,p00011,0.3,0.7375,0.591667
Dataset_DeepseekV3.1,p03281,0.67,0.5875,0.666667
Dataset_DeepseekV3.1,p02835,0.4,0.7375,0.675
Dataset_DeepseekV3.1,p02404,0.54,0.625,0.691667
Dataset_DeepseekV3.1,p02388,0.75,0.775,0.808333
Dataset_DeepseekV3.1,p02410,0.26,0.7625,0.7
Dataset_DeepseekV3.1,p02612,0.4,0.675,0.583333
Dataset_DeepseekV3.1,p02389,0.42,0.575,0.6
Dataset_DeepseekV3.1,p02405,0.36,0.775,0.716667
Dataset_DeepseekV3.1,p02613,0.5,0.825,0.708333
Dataset_DeepseekV3.1,p03041,0.59,0.7125,0.616667
Dataset_DeepseekV3.1,p02411,0.33,0.7875,0.875
Dataset_DeepseekV3.1,p02767,0.7,0.7625,0.716667
Dataset_DeepseekV3.1,p02773,0.58,0.7375,0.7
Dataset_DeepseekV3.1,p02571,0.68,0.6375,0.55
Dataset_DeepseekV3.1,p03243,0.25,0.5375,0.725
Dataset_DeepseekV3.1,p02983,0.54,0.725,0.641667
Dataset_DeepseekV3.1,p03109,0.18,0.5875,0.691667
Dataset_DeepseekV3.1,p02264,0.78,0.8375,0.733333
Dataset_DeepseekV3.1,p02700,0.28,0.825,0.808333
Dataset_DeepseekV3.1,p03146,0.68,0.7125,0.7
Dataset_DeepseekV3.1,p03378,0.61,0.675,0.508333
Dataset_DeepseekV3.1,p02258,0.41,0.7375,0.725
Dataset_DeepseekV3.1,p02847,0.21,0.775,0.683333
Dataset_DeepseekV3.1,p04012,0.26,0.7375,0.816667
Dataset_DeepseekV3.1,p02675,0.24,0.8125,0.658333
Dataset_DeepseekV3.1,p03998,0.35,0.6125,0.591667
Dataset_DeepseekV3.1,p03147,0.33,0.7,0.683333
Dataset_DeepseekV3.1,p02259,0.3,0.8,0.725
Dataset_DeepseekV3.1,p02701,0.83,0.7625,0.733333
Dataset_DeepseekV3.1,p03435,0.57,0.6625,0.558333
Dataset_DeepseekV3.1,p02729,0.29,0.5,0.675
Dataset_DeepseekV3.1,p02717,0.75,0.675,0.575
Dataset_DeepseekV3.1,p02677,0.84,0.675,0.641667
Dataset_DeepseekV3.1,p02887,0.3,0.6625,0.616667
Dataset_DeepseekV3.1,p02688,0.58,0.775,0.483333
Dataset_DeepseekV3.1,p02879,0.64,0.75,0.633333
Dataset_DeepseekV3.1,p02712,0.4,0.6625,0.483333
Dataset_DeepseekV3.1,p02886,0.71,0.7625,0.675
Dataset_DeepseekV3.1,p02676,0.54,0.85,0.716667
Dataset_DeepseekV3.1,p03632,0.38,0.8125,0.733333
Dataset_DeepseekV3.1,p03434,0.55,0.7875,0.641667
Dataset_DeepseekV3.1,p03352,0.63,0.8125,0.608333
Dataset_DeepseekV3.1,p02706,0.36,0.8375,0.591667
Dataset_DeepseekV3.1,p02921,0.26,0.6625,0.708333
Dataset_DeepseekV3.1,p02935,0.71,0.6625,0.733333
Dataset_DeepseekV3.1,p02909,0.24,0.6875,0.575
Dataset_DeepseekV3.1,p02713,0.75,0.7,0.708333
Dataset_DeepseekV3.1,p03035,0.42,0.65,0.675
Dataset_DeepseekV3.1,p02699,0.44,0.7625,0.691667
Dataset_DeepseekV3.1,p03545,0.54,0.8125,0.608333
Dataset_DeepseekV3.1,p02934,0.82,0.8,0.708333
Dataset_DeepseekV3.1,p02897,0.78,0.7125,0.533333
Dataset_DeepseekV3.1,p03814,0.46,0.3375,0.675
Dataset_DeepseekV3.1,p02707,0.4,0.4375,0.8
Dataset_DeepseekV3.1,p02263,0.64,0.875,0.783333
Dataset_DeepseekV3.1,p02711,0.4,0.7,0.591667
Dataset_DeepseekV3.1,p02922,0.41,0.675,0.708333
Dataset_DeepseekV3.1,p02881,0.74,0.675,0.558333
Dataset_DeepseekV3.1,p02705,0.57,0.7375,0.7
Dataset_DeepseekV3.1,p02880,0.21,0.7,0.758333
Dataset_DeepseekV3.1,p02659,0.3,0.675,0.666667
Dataset_DeepseekV3.1,p02923,0.64,0.65,0.55
Dataset_DeepseekV3.1,p02658,0.77,0.6875,0.8
Dataset_DeepseekV3.1,p03037,0.71,0.6125,0.6
Dataset_DeepseekV3.1,p03220,0.49,0.65,0.491667
Dataset_DeepseekV3.1,p02260,0.47,0.7875,0.808333
Dataset_GPT3.5,p02641,0.59,0.5,0.4
Dataset_GPT3.5,p02899,0.39,0.4375,0.408333
Dataset_GPT3.5,p03013,0.33,0.375,0.333333
Dataset_GPT3.5,p03371,0.47,0.4,0.35
Dataset_GPT3.5,p03775,0.47,0.4,0.4
Dataset_GPT3.5,p02640,0.26,0.65,0.533333
Dataset_GPT3.5,p03239,0.49,0.5125,0.45
Dataset_GPT3.5,p03012,0.53,0.4375,0.491667
Dataset_GPT3.5,p02682,0.54,0.4,0.483333
Dataset_GPT3.5,p02898,0.61,0.675,0.633333
Dataset_GPT3.5,p03370,0.44,0.475,0.35
Dataset_GPT3.5,p03416,0.7,0.5875,0.55
Dataset_GPT3.5,p03011,0.53,0.55,0.425
Dataset_GPT3.5,p02723,0.24,0.7625,0.708333
Dataset_GPT3.5,p04030,0.62,0.4125,0.508333
Dataset_GPT3.5,p02694,0.44,0.6,0.525
Dataset_GPT3.5,p02681,0.29,0.7125,0.566667
Dataset_GPT3.5,p02911,0.27,0.4625,0.4
Dataset_GPT3.5,p02657,0.65,0.6125,0.483333
Dataset_GPT3.5,p02910,0.24,0.4375,0.5
Dataset_GPT3.5,p03161,0.63,0.725,0.675
Dataset_GPT3.5,p02257,0.66,0.55,0.541667
Dataset_GPT3.5,p02860,0.2,0.6625,0.6
Dataset_GPT3.5,p03000,0.39,0.5125,0.433333
Dataset_GPT3.5,p02268,0.35,0.75,0.583333
Dataset_GPT3.5,p03160,0.74,0.7875,0.566667
Dataset_GPT3.5,p03001,0.42,0.4625,0.408333
Dataset_GPT3.5,p02848,0.22,0.5625,0.716667
Dataset_GPT3.5,p03835,0.5,0.3125,0.275
Dataset_GPT3.5,p02256,0.42,0.675,0.533333
Dataset_GPT3.5,p02718,0.24,0.5875,0.408333
Dataset_GPT3.5,p02730,0.42,0.625,0.416667
Dataset_GPT3.5,p03360,0.4,0.5625,0.533333
Dataset_GPT3.5,p02724,0.54,0.45,0.358333
Dataset_GPT3.5,p02693,0.27,0.625,0.408333
Dataset_GPT3.5,p02917,0.49,0.325,0.475
Dataset_GPT3.5,p02725,0.47,0.5875,0.366667
Dataset_GPT3.5,p02687,0.25,0.7,0.55
Dataset_GPT3.5,p02916,0.37,0.525,0.475
Dataset_GPT3.5,p02731,0.27,0.5125,0.35
Dataset_GPT3.5,p02719,0.5,0.3875,0.416667
Dataset_GPT3.5,p03448,0.4,0.4375,0.691667
Dataset_GPT3.5,p02255,0.85,0.8,0.675
Dataset_GPT3.5,p03474,0.23,0.375,0.6
Dataset_GPT3.5,p02959,0.56,0.375,0.425
Dataset_GPT3.5,p02971,0.36,0.4625,0.416667
Dataset_GPT3.5,p02408,0.36,0.55,0.45
Dataset_GPT3.5,p02622,0.52,0.4125,0.433333
Dataset_GPT3.5,p02420,0.4,0.5625,0.316667
Dataset_GPT3.5,p02391,0.2,0.85,0.808333
Dataset_GPT3.5,p02409,0.36,0.55,0.408333
Dataset_GPT3.5,p03071,0.71,0.7,0.458333
Dataset_GPT3.5,p04044,0.66,0.675,0.458333
Dataset_GPT3.5,p03059,0.63,0.575,0.45
Dataset_GPT3.5,p02390,0.26,0.675,0.558333
Dataset_GPT3.5,p02421,0.69,0.6875,0.641667
Dataset_GPT3.5,p03449,0.51,0.675,0.533333
Dataset_GPT3.5,p02970,0.6,0.525,0.433333
Dataset_GPT3.5,p02958,0.18,0.4375,0.583333
Dataset_GPT3.5,p02582,0.28,0.5,0.466667
Dataset_GPT3.5,p02755,0.24,0.5625,0.308333
Dataset_GPT3.5,p03107,0.44,0.4,0.416667
Dataset_GPT3.5,p02621,0.56,0.5875,0.5
Dataset_GPT3.5,p02392,0.25,0.775,0.691667
Dataset_GPT3.5,p02812,0.32,0.6375,0.616667
Dataset_GPT3.5,p03073,0.38,0.375,0.391667
Dataset_GPT3.5,p02393,0.64,0.7,0.791667
Dataset_GPT3.5,p03072,0.38,0.375,0.341667
Dataset_GPT3.5,p02783,0.44,0.425,0.375
Dataset_GPT3.5,p02754,0.42,0.3375,0.333333
Dataset_GPT3.5,p02552,0.3,0.625,0.666667
Dataset_GPT3.5,p02988,0.34,0.5375,0.575
Dataset_GPT3.5,p02595,0.3,0.375,0.458333
Dataset_GPT3.5,p03102,0.37,0.3875,0.458333
Dataset_GPT3.5,p03106,0.26,0.375,0.483333
Dataset_GPT3.5,p02778,0.46,0.7625,0.566667
Dataset_GPT3.5,p03076,0.46,0.425,0.425
Dataset_GPT3.5,p04043,0.24,0.65,0.533333
Dataset_GPT3.5,p02396,0.17,0.75,0.608333
Dataset_GPT3.5,p02397,0.29,0.5125,0.566667
Dataset_GPT3.5,p02802,0.36,0.475,0.45
Dataset_GPT3.5,p02786,0.61,0.625,0.45
Dataset_GPT3.5,p03261,0.49,0.5625,0.416667
Dataset_GPT3.5,p02989,0.28,0.625,0.383333
Dataset_GPT3.5,p02779,0.22,0.575,0.483333
Dataset_GPT3.5,p02547,0.34,0.4375,0.441667
Dataset_GPT3.5,p02553,0.52,0.475,0.408333
Dataset_GPT3.5,p03315,0.25,0.6875,0.541667
Dataset_GPT3.5,p03854,0.15,0.6375,0.675
Dataset_GPT3.5,p03471,0.35,0.5125,0.475
Dataset_GPT3.5,p02753,0.26,0.5875,0.35
Dataset_GPT3.5,p02784,0.5,0.5875,0.458333
Dataset_GPT3.5,p02419,0.21,0.775,0.716667
Dataset_GPT3.5,p02381,0.74,0.7,0.658333
Dataset_GPT3.5,p02627,0.19,0.725,0.833333
Dataset_GPT3.5,p02790,0.28,0.3625,0.358333
Dataset_GPT3.5,p02394,0.25,0.75,0.55
Dataset_GPT3.5,p03060,0.41,0.425,0.45
Dataset_GPT3.5,p03075,0.23,0.7125,0.683333
Dataset_GPT3.5,p02418,0.22,0.675,0.608333
Dataset_GPT3.5,p02829,0.3,0.5,0.541667
Dataset_GPT3.5,p02801,0.24,0.375,0.741667
Dataset_GPT3.5,p02785,0.6,0.6125,0.425
Dataset_GPT3.5,p02791,0.34,0.3875,0.4
Dataset_GPT3.5,p03470,0.38,0.8,0.625
Dataset_GPT3.5,p03289,0.23,0.55,0.575
Dataset_GPT3.5,p02578,0.53,0.3375,0.316667
Dataset_GPT3.5,p03680,0.49,0.65,0.516667
Dataset_GPT3.5,p02777,0.43,0.6375,0.516667
Dataset_GPT3.5,p03316,0.32,0.8,0.75
Dataset_GPT3.5,p03469,0.3,0.5,0.383333
Dataset_GPT3.5,p02987,0.23,0.625,0.541667
Dataset_GPT3.5,p02993,0.25,0.725,0.625
Dataset_GPT3.5,p02818,0.46,0.5375,0.416667
Dataset_GPT3.5,p02830,0.7,0.7125,0.458333
Dataset_GPT3.5,p03455,0.25,0.675,0.483333
Dataset_GPT3.5,p02401,0.34,0.7,0.6
Dataset_GPT3.5,p02415,0.18,0.7375,0.633333
Dataset_GPT3.5,p03086,0.46,0.85,0.758333
Dataset_GPT3.5,p02398,0.44,0.55,0.716667
Dataset_GPT3.5,p02399,0.27,0.6,0.525
Dataset_GPT3.5,p03087,0.31,0.4875,0.566667
Dataset_GPT3.5,p02414,0.37,0.5625,0.45
Dataset_GPT3.5,p02400,0.3,0.725,0.625
Dataset_GPT3.5,p03285,0.26,0.65,0.475
Dataset_GPT3.5,p02831,0.82,0.8375,0.691667
Dataset_GPT3.5,p02945,0.74,0.725,0.575
Dataset_GPT3.5,p02819,0.7,0.6,0.566667
Dataset_GPT3.5,p03695,0.6,0.4125,0.35
Dataset_GPT3.5,p02951,0.53,0.4375,0.375
Dataset_GPT3.5,p02576,0.51,0.575,0.358333
Dataset_GPT3.5,p03324,0.48,0.3,0.391667
Dataset_GPT3.5,p03126,0.45,0.3125,0.458333
Dataset_GPT3.5,p03456,0.43,0.775,0.633333
Dataset_GPT3.5,p00001,0.64,0.6875,0.633333
Dataset_GPT3.5,p02947,0.57,0.6375,0.541667
Dataset_GPT3.5,p02953,0.24,0.4625,0.633333
Dataset_GPT3.5,p00003,0.36,0.6375,0.616667
Dataset_GPT3.5,p03293,0.26,0.6375,0.575
Dataset_GPT3.5,p02628,0.55,0.65,0.391667
Dataset_GPT3.5,p02417,0.25,0.775,0.733333
Dataset_GPT3.5,p02403,0.24,0.7,0.616667
Dataset_GPT3.5,p02402,0.51,0.75,0.65
Dataset_GPT3.5,p03720,0.51,0.375,0.35
Dataset_GPT3.5,p02832,0.52,0.4375,0.383333
Dataset_GPT3.5,p02629,0.22,0.8,0.683333
Dataset_GPT3.5,p02416,0.3,0.475,0.758333
Dataset_GPT3.5,p00002,0.23,0.675,0.625
Dataset_GPT3.5,p03494,0.22,0.7,0.625
Dataset_GPT3.5,p02952,0.22,0.85,0.733333
Dataset_GPT3.5,p03292,0.51,0.675,0.391667
Dataset_GPT3.5,p03457,0.22,0.725,0.6
Dataset_GPT3.5,p02946,0.28,0.65,0.491667
Dataset_GPT3.5,p02577,0.18,0.85,0.783333
Dataset_GPT3.5,p02981,0.56,0.5,0.425
Dataset_GPT3.5,p02759,0.43,0.425,0.308333
Dataset_GPT3.5,p02995,0.77,0.6625,0.491667
Dataset_GPT3.5,p02771,0.19,0.5,0.791667
Dataset_GPT3.5,p03325,0.65,0.6875,0.558333
Dataset_GPT3.5,p02639,0.58,0.65,0.425
Dataset_GPT3.5,p00006,0.28,0.575,0.641667
Dataset_GPT3.5,p03282,0.31,0.4,0.383333
Dataset_GPT3.5,p02836,0.6,0.75,0.583333
Dataset_GPT3.5,p03043,0.38,0.675,0.441667
Dataset_GPT3.5,p02407,0.25,0.725,0.525
Dataset_GPT3.5,p02413,0.63,0.6,0.541667
Dataset_GPT3.5,p03308,0.64,0.75,0.583333
Dataset_GPT3.5,p03042,0.2,0.7875,0.716667
Dataset_GPT3.5,p02994,0.47,0.525,0.483333
Dataset_GPT3.5,p02406,0.45,0.325,0.7
Dataset_GPT3.5,p02412,0.33,0.325,0.558333
Dataset_GPT3.5,p02957,0.38,0.4875,0.408333
Dataset_GPT3.5,p00007,0.52,0.5375,0.516667
Dataset_GPT3.5,p03136,0.45,0.6875,0.6
Dataset_GPT3.5,p03644,0.4,0.475,0.483333
Dataset_GPT3.5,p02570,0.23,0.6875,0.641667
Dataset_GPT3.5,p00011,0.31,0.5,0.341667
Dataset_GPT3.5,p03478,0.52,0.5125,0.458333
Dataset_GPT3.5,p02766,0.68,0.7125,0.458333
Dataset_GPT3.5,p03242,0.47,0.3625,0.358333
Dataset_GPT3.5,p02772,0.19,0.4375,0.541667
Dataset_GPT3.5,p03493,0.43,0.7875,0.608333
Dataset_GPT3.5,p02982,0.63,0.5375,0.441667
Dataset_GPT3.5,p02612,0.45,0.7,0.508333
Dataset_GPT3.5,p00005,0.6,0.5125,0.658333
Dataset_GPT3.5,p03281,0.58,0.625,0.641667
Dataset_GPT3.5,p02404,0.29,0.6625,0.683333
Dataset_GPT3.5,p03041,0.56,0.7625,0.5
Dataset_GPT3.5,p02389,0.3,0.6625,0.425
Dataset_GPT3.5,p02410,0.35,0.5875,0.525
Dataset_GPT3.5,p02405,0.22,0.725,0.566667
Dataset_GPT3.5,p02411,0.25,0.7125,0.733333
Dataset_GPT3.5,p02835,0.29,0.7625,0.55
Dataset_GPT3.5,p02388,0.56,0.775,0.733333
Dataset_GPT3.5,p02613,0.21,0.625,0.633333
Dataset_GPT3.5,p03243,0.23,0.5875,0.633333
Dataset_GPT3.5,p02767,0.63,0.475,0.441667
Dataset_GPT3.5,p02983,0.35,0.4875,0.383333
Dataset_GPT3.5,p02773,0.62,0.75,0.616667
Dataset_GPT3.5,p02258,0.76,0.7,0.591667
Dataset_GPT3.5,p03146,0.62,0.7,0.575
Dataset_GPT3.5,p02264,0.74,0.7125,0.583333
Dataset_GPT3.5,p02571,0.58,0.425,0.366667
